CF% Before,CF% After,SCF% Before,SCF% After,SV% Before,SV% After,SH% Before,SH% After,PDO Before,PDO After
42.48,35.87,41.51,33.33,94.59,96.77,8.0,12.5,1.026,1.093
39.58,50.53,40.0,45.83,100.0,96.97,0.0,16.0,1.0,1.13
34.69,59.26,24.0,55.0,89.19,100.0,0.0,0.0,0.892,1.0
46.81,42.53,41.03,32.43,100.0,88.89,5.0,8.7,1.05,0.976
40.35,44.05,40.32,30.0,97.62,91.67,7.69,4.55,1.053,0.962
38.68,40.22,37.5,28.95,92.31,81.48,7.69,16.67,1.0,0.981
46.15,42.55,42.86,40.0,100.0,83.33,8.0,0.0,1.08,0.833
32.04,52.27,22.92,48.98,91.18,86.21,23.08,4.35,1.143,0.906
47.79,40.2,42.86,37.25,85.71,87.1,0.0,10.0,0.857,0.971
62.11,48.28,62.22,42.86,91.3,90.48,3.13,4.55,0.944,0.95
