Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-01-13 - Blackhawks 1, Lightning 5",45.583333333333,49.25,44.19,0.0,86.36,0.864,Central
"2021-01-13 - Blackhawks 1, Lightning 5",45.583333333333,50.75,55.81,13.64,100.0,1.136,Central
"2021-01-14 - Blue Jackets 1, Predators 3",49.05,48.04,45.45,4.0,92.59,0.966,Central
"2021-01-14 - Blue Jackets 1, Predators 3",49.05,51.96,54.55,7.41,96.0,1.034,Central
"2021-01-14 - Hurricanes 3, Red Wings 0",50.266666666667,66.67,64.58,2.86,100.0,1.029,Central
"2021-01-14 - Hurricanes 3, Red Wings 0",50.266666666667,33.33,35.42,0.0,97.14,0.971,Central
"2021-01-15 - Blackhawks 2, Lightning 5",46.566666666667,46.43,50.0,3.85,82.76,0.866,Central
"2021-01-15 - Blackhawks 2, Lightning 5",46.566666666667,53.57,50.0,17.24,96.15,1.134,Central
"2021-01-16 - Blue Jackets 2, Predators 5",51.333333333333,53.4,56.82,5.71,80.0,0.857,Central
"2021-01-16 - Blue Jackets 2, Predators 5",51.333333333333,46.6,43.18,20.0,94.29,1.143,Central
"2021-01-16 - Hurricanes 2, Red Wings 4",48.35,60.0,59.46,3.85,82.35,0.862,Central
"2021-01-16 - Hurricanes 2, Red Wings 4",48.35,40.0,40.54,17.65,96.15,1.138,Central
"2021-01-17 - Blackhawks 2, Panthers 5",49.283333333333,51.9,53.57,0.0,89.29,0.893,Central
"2021-01-17 - Blackhawks 2, Panthers 5",49.283333333333,48.1,46.43,10.71,100.0,1.107,Central
"2021-01-18 - Blue Jackets 3, Red Wings 2",49.783333333333,47.13,40.0,11.54,96.88,1.084,Central
"2021-01-18 - Blue Jackets 3, Red Wings 2",49.783333333333,52.87,60.0,3.13,88.46,0.916,Central
"2021-01-18 - Hurricanes 4, Predators 2",41.483333333333,46.84,50.0,11.76,96.0,1.078,Central
"2021-01-18 - Hurricanes 4, Predators 2",41.483333333333,53.16,50.0,4.0,88.24,0.922,Central
"2021-01-19 - Blackhawks 4, Panthers 5",51.8,51.09,45.45,6.67,90.48,0.971,Central
"2021-01-19 - Blackhawks 4, Panthers 5",51.8,48.91,54.55,9.52,93.33,1.029,Central
"2021-01-19 - Blue Jackets 2, Red Wings 3",54.25,44.83,40.0,9.52,95.45,1.05,Central
