Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-01-13 - Penguins 3, Flyers 6",51.933333333333,44.19,48.65,18.18,93.33,1.115,East
"2021-01-13 - Penguins 3, Flyers 6",51.933333333333,55.81,51.35,6.67,81.82,0.885,East
"2021-01-14 - Bruins 3, Devils 2",43.366666666667,55.56,56.76,0.0,85.71,0.857,East
"2021-01-14 - Bruins 3, Devils 2",43.366666666667,44.44,43.24,14.29,100.0,1.143,East
"2021-01-14 - Capitals 6, Sabres 4",51.316666666667,51.47,55.17,10.53,80.95,0.915,East
"2021-01-14 - Capitals 6, Sabres 4",51.316666666667,48.53,44.83,19.05,89.47,1.085,East
"2021-01-14 - Islanders 4, Rangers 0",38.216666666667,51.95,65.79,7.69,100.0,1.077,East
"2021-01-14 - Islanders 4, Rangers 0",38.216666666667,48.05,34.21,0.0,92.31,0.923,East
"2021-01-15 - Capitals 2, Sabres 1",48.333333333333,51.43,55.56,4.55,90.48,0.95,East
"2021-01-15 - Capitals 2, Sabres 1",48.333333333333,48.57,44.44,9.52,95.45,1.05,East
"2021-01-15 - Penguins 2, Flyers 5",41.433333333333,38.6,39.39,25.0,95.65,1.207,East
"2021-01-15 - Penguins 2, Flyers 5",41.433333333333,61.4,60.61,4.35,75.0,0.793,East
"2021-01-16 - Bruins 1, Devils 2",48.6,48.0,41.38,0.0,95.45,0.955,East
"2021-01-16 - Bruins 1, Devils 2",48.6,52.0,58.62,4.55,100.0,1.045,East
"2021-01-16 - Islanders 0, Rangers 5",42.166666666667,37.88,35.71,0.0,81.82,0.818,East
"2021-01-16 - Islanders 0, Rangers 5",42.166666666667,62.12,64.29,18.18,100.0,1.182,East
"2021-01-17 - Capitals 3, Penguins 4",45.55,50.0,57.14,15.79,88.89,1.047,East
"2021-01-17 - Capitals 3, Penguins 4",45.55,50.0,42.86,11.11,84.21,0.953,East
"2021-01-18 - Bruins 0, Islanders 1",39.833333333333,63.77,56.25,0.0,90.0,0.9,East
"2021-01-18 - Bruins 0, Islanders 1",39.833333333333,36.23,43.75,10.0,100.0,1.1,East
"2021-01-18 - Sabres 6, Flyers 1",52.95,49.0,54.55,12.9,95.24,1.081,East
