Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-01-13 - Canadiens 4, Maple Leafs 5",48.6,47.47,45.45,9.09,90.0,0.991,North
"2021-01-13 - Canadiens 4, Maple Leafs 5",48.6,52.53,54.55,10.0,90.91,1.009,North
"2021-01-13 - Canucks 5, Oilers 3",47.583333333333,41.76,45.83,12.0,83.87,0.959,North
"2021-01-13 - Canucks 5, Oilers 3",47.583333333333,58.24,54.17,16.13,88.0,1.041,North
"2021-01-14 - Canucks 2, Oilers 5",44.55,44.14,45.28,8.33,93.33,1.017,North
"2021-01-14 - Canucks 2, Oilers 5",44.55,55.86,54.72,6.67,91.67,0.983,North
"2021-01-14 - Flames 3, Jets 4",48.733333333333,46.84,43.9,10.0,92.31,1.023,North
"2021-01-14 - Flames 3, Jets 4",48.733333333333,53.16,56.1,7.69,90.0,0.977,North
"2021-01-15 - Maple Leafs 3, Senators 5",41.166666666667,51.39,52.63,16.67,94.12,1.108,North
"2021-01-15 - Maple Leafs 3, Senators 5",41.166666666667,48.61,47.37,5.88,83.33,0.892,North
"2021-01-16 - Canadiens 5, Oilers 1",51.416666666667,53.0,54.55,4.0,89.29,0.933,North
"2021-01-16 - Canadiens 5, Oilers 1",51.416666666667,47.0,45.45,10.71,96.0,1.067,North
"2021-01-16 - Canucks 0, Flames 3",45.65,54.32,61.76,0.0,100.0,1.0,North
"2021-01-16 - Canucks 0, Flames 3",45.65,45.68,38.24,0.0,100.0,1.0,North
"2021-01-16 - Maple Leafs 3, Senators 2",44.6,28.21,31.71,14.29,92.31,1.066,North
"2021-01-16 - Maple Leafs 3, Senators 2",44.6,71.79,68.29,7.69,85.71,0.934,North
"2021-01-18 - Canadiens 3, Oilers 1",36.766666666667,42.86,33.33,0.0,95.0,0.95,North
"2021-01-18 - Canadiens 3, Oilers 1",36.766666666667,57.14,66.67,5.0,100.0,1.05,North
"2021-01-18 - Canucks 2, Flames 5",36.966666666667,56.45,71.43,10.0,93.33,1.033,North
"2021-01-18 - Canucks 2, Flames 5",36.966666666667,43.55,28.57,6.67,90.0,0.967,North
"2021-01-18 - Jets 1, Maple Leafs 3",46.383333333333,60.49,70.0,3.85,94.44,0.983,North
"2021-01-18 - Jets 1, Maple Leafs 3",46.383333333333,39.51,30.0,5.56,96.15,1.017,North
"2021-01-19 - Jets 4, Senators 3",42.116666666667,55.56,66.67,3.7,95.0,0.987,North
"2021-01-19 - Jets 4, Senators 3",42.116666666667,44.44,33.33,5.0,96.3,1.013,North
