Game,TOI,CF%,SCF%,SH%,SV%,PDO,Division
"2021-01-13 - Blues 4, Avalanche 1",50.683333333333,50.57,33.33,0.0,85.19,0.852,West
"2021-01-13 - Blues 4, Avalanche 1",50.683333333333,49.43,66.67,14.81,100.0,1.148,West
"2021-01-14 - Ducks 2, Golden Knights 5",53.483333333333,51.16,42.86,11.11,84.62,0.957,West
"2021-01-14 - Ducks 2, Golden Knights 5",53.483333333333,48.84,57.14,15.38,88.89,1.043,West
"2021-01-14 - Sharks 4, Coyotes 3",44.833333333333,51.55,62.26,4.17,92.31,0.965,West
"2021-01-14 - Sharks 4, Coyotes 3",44.833333333333,48.45,37.74,7.69,95.83,1.035,West
"2021-01-14 - Wild 4, Kings 3",41.333333333333,54.84,54.17,4.35,80.0,0.843,West
"2021-01-14 - Wild 4, Kings 3",41.333333333333,45.16,45.83,20.0,95.65,1.157,West
"2021-01-15 - Blues 0, Avalanche 8",40.733333333333,54.9,56.52,15.0,100.0,1.15,West
"2021-01-15 - Blues 0, Avalanche 8",40.733333333333,45.1,43.48,0.0,85.0,0.85,West
"2021-01-16 - Ducks 1, Golden Knights 2",53.45,43.56,46.55,4.76,100.0,1.048,West
"2021-01-16 - Ducks 1, Golden Knights 2",53.45,56.44,53.45,0.0,95.24,0.952,West
"2021-01-16 - Sharks 3, Coyotes 5",44.733333333333,48.39,44.68,18.18,96.0,1.142,West
"2021-01-16 - Sharks 3, Coyotes 5",44.733333333333,51.61,55.32,4.0,81.82,0.858,West
"2021-01-16 - Wild 4, Kings 3",36.866666666667,41.03,26.32,9.52,93.33,1.029,West
"2021-01-16 - Wild 4, Kings 3",36.866666666667,58.97,73.68,6.67,90.48,0.971,West
"2021-01-18 - Coyotes 2, Golden Knights 4",42.166666666667,57.14,45.16,0.0,78.57,0.786,West
"2021-01-18 - Coyotes 2, Golden Knights 4",42.166666666667,42.86,54.84,21.43,100.0,1.214,West
"2021-01-18 - Sharks 4, Blues 5",49.966666666667,39.13,25.0,12.5,83.33,0.958,West
"2021-01-18 - Sharks 4, Blues 5",49.966666666667,60.87,75.0,16.67,87.5,1.042,West
"2021-01-18 - Wild 0, Ducks 1",43.283333333333,43.04,35.0,4.76,100.0,1.048,West
"2021-01-18 - Wild 0, Ducks 1",43.283333333333,56.96,65.0,0.0,95.24,0.952,West
"2021-01-19 - Avalanche 3, Kings 2",44.05,49.23,62.07,5.88,94.74,1.006,West
"2021-01-19 - Avalanche 3, Kings 2",44.05,50.77,37.93,5.26,94.12,0.994,West
"2021-01-20 - Coyotes 2, Golden Knights 5",39.95,58.9,58.14,9.09,81.25,0.903,West
"2021-01-20 - Coyotes 2, Golden Knights 5",39.95,41.1,41.86,18.75,90.91,1.097,West
"2021-01-20 - Sharks 2, Blues 1",42.25,47.76,50.0,4.55,94.74,0.993,West
"2021-01-20 - Sharks 2, Blues 1",42.25,52.24,50.0,5.26,95.45,1.007,West
"2021-01-20 - Wild 3, Ducks 2",47.366666666667,51.09,35.29,10.53,95.45,1.06,West
"2021-01-20 - Wild 3, Ducks 2",47.366666666667,48.91,64.71,4.55,89.47,0.94,West
"2021-01-21 - Avalanche 2, Kings 4",44.433333333333,55.84,58.54,5.26,94.12,0.994,West
"2021-01-21 - Avalanche 2, Kings 4",44.433333333333,44.16,41.46,5.88,94.74,1.006,West
"2021-01-22 - Avalanche 3, Ducks 2",40.816666666667,44.19,45.24,7.41,94.74,1.021,West
"2021-01-22 - Avalanche 3, Ducks 2",40.816666666667,55.81,54.76,5.26,92.59,0.979,West
"2021-01-22 - Golden Knights 2, Coyotes 5",43.333333333333,44.94,43.48,16.67,96.0,1.127,West
"2021-01-22 - Golden Knights 2, Coyotes 5",43.333333333333,55.06,56.52,4.0,83.33,0.873,West
"2021-01-22 - Sharks 1, Wild 4",39.85,50.0,41.38,9.09,95.45,1.045,West
"2021-01-22 - Sharks 1, Wild 4",39.85,50.0,58.62,4.55,90.91,0.955,West
"2021-01-23 - Kings 2, Blues 4",47.116666666667,56.34,53.57,5.88,92.0,0.979,West
"2021-01-23 - Kings 2, Blues 4",47.116666666667,43.66,46.43,8.0,94.12,1.021,West
"2021-01-24 - Avalanche 1, Ducks 3",44.783333333333,39.08,40.0,18.18,96.15,1.143,West
"2021-01-24 - Avalanche 1, Ducks 3",44.783333333333,60.92,60.0,3.85,81.82,0.857,West
"2021-01-24 - Golden Knights 1, Coyotes 0",51.466666666667,37.76,30.0,0.0,96.15,0.962,West
"2021-01-24 - Golden Knights 1, Coyotes 0",51.466666666667,62.24,70.0,3.85,100.0,1.038,West
"2021-01-24 - Kings 6, Blues 3",43.683333333333,53.09,51.52,16.67,86.36,1.03,West
"2021-01-24 - Kings 6, Blues 3",43.683333333333,46.91,48.48,13.64,83.33,0.97,West
"2021-01-24 - Sharks 5, Wild 3",42.166666666667,45.98,51.11,4.76,88.46,0.932,West
"2021-01-24 - Sharks 5, Wild 3",42.166666666667,54.02,48.89,11.54,95.24,1.068,West
"2021-01-26 - Blues 5, Golden Knights 4",43.433333333333,37.78,44.44,17.65,89.66,1.073,West
"2021-01-26 - Blues 5, Golden Knights 4",43.433333333333,62.22,55.56,10.34,82.35,0.927,West
"2021-01-26 - Ducks 1, Coyotes 0",49.55,41.11,40.0,4.35,100.0,1.043,West
"2021-01-26 - Ducks 1, Coyotes 0",49.55,58.89,60.0,0.0,95.65,0.957,West
"2021-01-26 - Kings 2, Wild 1",46.166666666667,42.25,34.48,15.38,95.83,1.112,West
"2021-01-26 - Kings 2, Wild 1",46.166666666667,57.75,65.52,4.17,84.62,0.888,West
